Experiment,Treatment,Tray,Date,DOL,RepDay,Day,Individual,Code,weight_mg,PupalShellLength,PupalShellWidth,isolationDate,isolationTime,eclosionDate,eclosionTime,TotalPupalDevTime,Sex,Sex_binary,Ovary date extraction,Ovary_weight_mg,Ovary_singular_weight_mg,OvaryCorrPupalSize
R2,Large,8,14/02/2022,20DOL,16,,73,L73,122.34,NA,NA,14/02/2022,11:00,22/02/2022,10:00,191,M,1,NA,NA,NA,NA
R2,Large,8,14/02/2022,20DOL,16,,75,L75,130.84,NA,NA,14/02/2022,11:00,22/02/2022,10:00,191,M,1,NA,NA,NA,NA
R2,Large,8,14/02/2022,20DOL,16,,77,L77,136.21,NA,NA,14/02/2022,11:00,22/02/2022,10:00,191,M,1,NA,NA,NA,NA
R2,Large,8,14/02/2022,20DOL,16,,79,L79,125.36,NA,NA,14/02/2022,11:00,22/02/2022,10:00,191,M,1,NA,NA,NA,NA
R1,Control,2,08/11/2021,21DOL,,DAY17,3,C.D4.T2.3,119.2,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,0.3,0.15,0.002516779
R1,Large,6,08/11/2021,21DOL,,DAY17,1,L.D5.T3.1,165.7,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,1,0.5,0.006035003
R1,Control,1,NA,NA,,NA,2,C.EXTRA.2,NA,NA,NA,NA,NA,NA,NA,NA,F,1,,1,0.5,NA
R2,Control,7,14/02/2022,20DOL,16,,53,C53,91.07,NA,NA,14/02/2022,11:00,21/02/2022,12:30,169.5,F,1,,1.01,0.505,0.01109037
R2,Control,7,13/02/2022,19DOL,15,,32,C32,91.97,NA,NA,13/02/2022,11:00,20/02/2022,11:00,168,F,1,,1.12,0.56,0.012177884
R1,Control,2,08/11/2021,21DOL,,DAY17,5,C.D4.T2.5,100,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,1.2,0.6,0.012
R1,Control,2,08/11/2021,21DOL,,DAY17,4,C.D4.T2.4,97.5,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,1.4,0.7,0.014358974
R1,Control,2,07/11/2021,20DOL,,DAY16,1,C.D3.T2.1,104.5,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,1.5,0.75,0.014354067
R1,Control,3,08/11/2021,21DOL,,DAY17,4,C.D4.T3.4,105.6,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,1.5,0.75,0.014204545
R2,Control,7,13/02/2022,19DOL,15,,19,C19,86.54,NA,NA,13/02/2022,11:00,21/02/2022,10:00,191,F,1,,1.52,0.76,0.017564132
R2,Large,8,13/02/2022,19DOL,15,,35,L35,132.06,NA,NA,13/02/2022,11:00,20/02/2022,11:00,168,F,1,,1.55,0.775,0.011737089
R3,Control,10,05/07/2022,19DOL,15,,82,C82,116.4,14.52,4.49,05/07/2022,12:00,13/07/2022,08:20,188,F,1,15/07/2022,1.6,0.8,0.013745704
R1,Control,1,07/11/2021,20DOL,,DAY16,1,C.D3.T1.1,111.9,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,1.7,0.85,0.015192136
R1,Control,3,08/11/2021,21DOL,,DAY17,1,C.D4.T3.1,110.7,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,1.7,0.85,0.01535682
R1,Control,1,NA,NA,,NA,3,C.EXTRA.3,NA,NA,NA,NA,NA,NA,NA,NA,F,1,,1.7,0.85,NA
R1,Control,3,08/11/2021,21DOL,,DAY17,9,C.D4.T3.9,128.1,NA,NA,08/11/2021,10:00,16/11/2021,12:32,194,F,1,,1.8,0.9,0.014051522
R1,Control,1,NA,NA,,NA,4,C.EXTRA.4,NA,NA,NA,NA,NA,NA,NA,NA,F,1,,1.8,0.9,NA
R2,Control,7,13/02/2022,19DOL,15,,13,C13,72.32,NA,NA,13/02/2022,11:00,20/02/2022,11:00,168,F,1,,1.87,0.935,0.025857301
R2,Large,8,14/02/2022,20DOL,16,,74,L74,126.91,NA,NA,14/02/2022,11:00,21/02/2022,10:00,167,F,1,,1.89,0.945,0.014892443
R1,Large,5,07/11/2021,20DOL,,DAY16,7,L.D4.T2.7,135.2,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,1.9,0.95,0.014053254
R1,Control,3,07/11/2021,20DOL,,DAY16,2,C.D3.T3.2,85.8,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,1.9,0.95,0.022144522
R2,Large,8,14/02/2022,20DOL,16,,78,L78,143.81,NA,NA,14/02/2022,11:00,20/02/2022,11:00,144,F,1,,2.05,1.025,0.01425492
R1,Control,1,08/11/2021,21DOL,,DAY17,3,C.D4.T1.3,101.7,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,2.1,1.05,0.020648968
R1,Large,5,08/11/2021,21DOL,,DAY17,1,L.D5.T2.1,152.1,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,2.1,1.05,0.013806706
R2,Large,8,13/02/2022,19DOL,15,,20,L20,146.57,NA,NA,13/02/2022,11:00,20/02/2022,11:00,168,F,1,,2.14,1.07,0.014600532
R1,Control,1,07/11/2021,20DOL,,DAY16,3,C.D3.T1.3,98.6,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,2.2,1.1,0.022312373
R1,Control,1,NA,NA,,NA,6,C.EXTRA.6,NA,NA,NA,NA,NA,NA,NA,NA,F,1,,2.2,1.1,NA
R2,Large,8,13/02/2022,19DOL,15,,16,L16,150.13,NA,NA,13/02/2022,11:00,20/02/2022,11:00,168,F,1,,2.23,1.115,0.014853793
R2,Large,8,13/02/2022,19DOL,15,,58,L58,119.73,NA,NA,13/02/2022,11:00,21/02/2022,10:00,191,F,1,,2.29,1.145,0.019126368
R1,Control,1,08/11/2021,21DOL,,DAY17,5,C.D4.T1.5,108.5,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,2.4,1.2,0.022119816
R1,Control,3,08/11/2021,21DOL,,DAY17,3,C.D4.T3.3,120,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,2.5,1.25,0.020833333
R2,Large,8,13/02/2022,19DOL,15,,18,L18,123.4,NA,NA,13/02/2022,11:00,20/02/2022,11:00,168,F,1,,2.72,1.36,0.022042139
R2,Large,8,13/02/2022,19DOL,15,,65,L65,112.16,NA,NA,13/02/2022,11:00,21/02/2022,10:00,191,F,1,,2.77,1.385,0.024696862
R1,Large,5,08/11/2021,21DOL,,DAY17,2,L.D5.T2.2,157.6,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,2.8,1.4,0.017766497
R1,Control,1,NA,NA,,NA,5,C.EXTRA.5,NA,NA,NA,NA,NA,NA,NA,NA,F,1,,2.8,1.4,NA
R3,Control,10,04/07/2022,18DOL,14,,31,C31,79.2,12.87,3.81,04/07/2022,16:00,11/07/2022,11:00,163,F,1,13/07/2022,2.8,1.4,0.035353535
R1,Large,5,08/11/2021,21DOL,,DAY17,6,L.D5.T2.6,151.7,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,2.9,1.45,0.019116678
R2,Large,8,13/02/2022,19DOL,15,,52,L52,143.61,NA,NA,13/02/2022,11:00,21/02/2022,10:00,191,F,1,,3.12,1.56,0.021725507
R2,Large,8,13/02/2022,19DOL,15,,24,L24,141.01,NA,NA,13/02/2022,11:00,20/02/2022,11:00,168,F,1,,3.13,1.565,0.022197007
R1,Control,1,07/11/2021,20DOL,,DAY16,6,C.D3.T1.6,113.5,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,3.2,1.6,0.028193833
R1,Large,4,06/11/2021,19DOL,,DAY15,5,L.D3.T1.5,148.2,NA,NA,06/11/2021,14:00-14:40,15/11/2021,09:00,211,F,1,,3.3,1.65,0.022267206
R3,Control,9,04/07/2022,18DOL,14,,19,C19,97.7,13.59,4.63,04/07/2022,16:00,11/07/2022,17:30,169,F,1,13/07/2022,3.3,1.65,0.033776868
R3,Control,12,04/07/2022,18DOL,14,,61,C61,107.2,14.25,4.41,04/07/2022,16:00,12/07/2022,07:30,183,F,1,14/07/2022,3.3,1.65,0.030783582
R3,Large,13,10/07/2022,18DOL,14,,9,L9,142.7,16.5,4.93,10/07/2022,11:30,18/07/2022,08:20,188,F,1,20/07/2022,3.3,1.65,0.023125438
R2,Control,7,13/02/2022,19DOL,15,,45,C45,91.49,NA,NA,13/02/2022,11:00,21/02/2022,10:00,191,F,1,,3.31,1.655,0.036178817
R3,Control,9,04/07/2022,18DOL,14,,22,C22,117.5,14.29,4.89,04/07/2022,16:00,12/07/2022,07:30,183,F,1,14/07/2022,3.4,1.7,0.02893617
R2,Large,8,13/02/2022,19DOL,15,,34,L34,125.53,NA,NA,13/02/2022,11:00,21/02/2022,10:00,191,F,1,,3.57,1.785,0.028439417
R1,Large,5,07/11/2021,20DOL,,DAY16,3,L.D4.T2.3,162.6,NA,NA,07/11/2021,10:00,16/11/2021,09:00,215,F,1,,3.6,1.8,0.022140221
R1,Large,4,08/11/2021,21DOL,,DAY17,3,L.D5.T1.3,190.2,NA,NA,08/11/2021,10:00,15/11/2021,09:00,167,F,1,,3.7,1.85,0.019453207
R2,Control,7,14/02/2022,20DOL,16,,55,C55,99.99,NA,NA,14/02/2022,11:00,21/02/2022,10:00,167,F,1,,3.7,1.85,0.0370037
R3,Large,13,11/07/2022,18DOL,14,,71,L71,109.7,14.53,4.64,11/07/2022,11:00,19/07/2022,08:10,189,F,1,21/07/2022,3.7,1.85,0.03372835
R1,Large,4,07/11/2021,20DOL,,DAY16,10,L.D4.T1.10,120.6,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,3.8,1.9,0.031509121
R1,Control,1,NA,NA,,NA,1,C.EXTRA.1,NA,NA,NA,NA,NA,NA,NA,NA,F,1,,3.8,1.9,NA
R3,Control,9,04/07/2022,18DOL,14,,16,C16,106.7,14.16,4.11,04/07/2022,16:00,11/07/2022,11:00,163,F,1,13/07/2022,3.8,1.9,0.035613871
R3,Control,9,04/07/2022,18DOL,14,,21,C21,108.4,13.71,4.52,04/07/2022,16:00,12/07/2022,07:30,183,F,1,14/07/2022,3.8,1.9,0.035055351
R3,Control,10,04/07/2022,18DOL,14,,45,C45,105,13.98,4.49,04/07/2022,16:00,12/07/2022,07:30,183,F,1,14/07/2022,3.8,1.9,0.036190476
R1,Large,4,07/11/2021,20DOL,,DAY16,5,L.D4.T1.5,183.8,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,3.9,1.95,0.021218716
R1,Large,4,06/11/2021,19DOL,,DAY15,3,L.D3.T1.3,193.3,NA,NA,06/11/2021,14:00-14:40,15/11/2021,09:00,211,F,1,,3.9,1.95,0.020175892
R3,Control,12,05/07/2022,19DOL,15,,100,C100,86.8,13.66,4.35,05/07/2022,12:00,12/07/2022,19:50,175,F,1,14/07/2022,3.9,1.95,0.044930876
R3,Large,13,11/07/2022,18DOL,14,,70,L70,99,14.75,4.56,11/07/2022,11:00,18/07/2022,08:20,165,F,1,20/07/2022,3.9,1.95,0.039393939
R3,Control,11,05/07/2022,19DOL,15,,92,C92,131.7,15.52,4.86,05/07/2022,12:00,11/07/2022,11:00,143,F,1,13/07/2022,4,2,0.030372058
R3,Control,12,03/07/2022,17DOL,13,,5,C5,104.3,13.9,4.4,03/07/2022,16:00,12/07/2022,07:30,207,F,1,14/07/2022,4,2,0.038350911
R1,Large,4,08/11/2021,21DOL,,DAY17,7,L.D5.T1.7,158.1,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,4.1,2.05,0.025932954
R3,Control,12,04/07/2022,18DOL,14,,59,C59,106.2,14.39,4.38,04/07/2022,16:00,11/07/2022,11:00,163,F,1,13/07/2022,4.1,2.05,0.038606403
R3,Large,13,10/07/2022,18DOL,14,,38,L38,118.8,15.68,4.55,10/07/2022,11:30,18/07/2022,08:20,188,F,1,20/07/2022,4.1,2.05,0.034511785
R3,Control,9,04/07/2022,18DOL,14,,17,C17,102.6,14.28,4.47,04/07/2022,16:00,12/07/2022,07:30,183,F,1,14/07/2022,4.3,2.15,0.041910331
R2,Large,8,13/02/2022,19DOL,15,,67,L67,103.35,NA,NA,13/02/2022,11:00,21/02/2022,10:00,191,F,1,,4.36,2.18,0.042186744
R2,Large,8,14/02/2022,20DOL,16,,69,L69,141.36,NA,NA,14/02/2022,11:00,22/02/2022,10:00,191,F,1,,4.4,2.2,0.031126203
R3,Large,13,10/07/2022,18DOL,14,,11,L11,113.2,15.26,4.57,10/07/2022,11:30,16/07/2022,08:30,141,F,1,18/07/2022,4.4,2.2,0.038869258
R3,Large,13,11/07/2022,18DOL,14,,77,L77,98.2,14.33,4.23,11/07/2022,11:00,18/07/2022,08:20,165,F,1,20/07/2022,4.4,2.2,0.044806517
R1,Large,4,07/11/2021,20DOL,,DAY16,7,L.D4.T1.7,159.3,NA,NA,07/11/2021,10:00,15/11/2021,09:00,191,F,1,,4.6,2.3,0.028876334
R1,Large,4,06/11/2021,19DOL,,DAY15,1,L.D3.T1.1,184.2,NA,NA,06/11/2021,14:00-14:40,15/11/2021,09:00,211,F,1,,4.6,2.3,0.024972856
R3,Control,9,05/07/2022,19DOL,15,,76,C76,111.2,15.32,4.62,05/07/2022,12:00,11/07/2022,11:00,143,F,1,13/07/2022,4.6,2.3,0.041366906
R3,Large,13,11/07/2022,18DOL,14,,93,L93,106.9,15.17,4.79,11/07/2022,11:00,18/07/2022,08:20,165,F,1,20/07/2022,4.6,2.3,0.04303087
R3,Control,12,04/07/2022,18DOL,14,,62,C62,123.8,13.66,4.54,04/07/2022,16:00,12/07/2022,07:30,183,F,1,14/07/2022,4.7,2.35,0.037964459
R3,Control,9,04/07/2022,18DOL,14,,15,C15,100.8,13.85,4.39,04/07/2022,16:00,11/07/2022,18:30,170,F,1,13/07/2022,4.8,2.4,0.047619048
R3,Control,10,04/07/2022,18DOL,14,,32,C32,116.7,14.8,4.47,04/07/2022,16:00,11/07/2022,11:00,163,F,1,13/07/2022,4.8,2.4,0.041131105
R3,Control,10,04/07/2022,18DOL,14,,36,C36,104.3,14.3,4.48,04/07/2022,16:00,11/07/2022,11:00,163,F,1,13/07/2022,4.8,2.4,0.046021093
R1,Large,5,06/11/2021,19DOL,,DAY15,1,L.D3.T2.1,168.5,NA,NA,06/11/2021,14:00-14:40,15/11/2021,09:00,211,F,1,,4.9,2.45,0.029080119
R3,Control,9,05/07/2022,19DOL,15,,75,C75,115.9,15.23,4.74,05/07/2022,12:00,12/07/2022,12:50,168,F,1,14/07/2022,5,2.5,0.043140638
R1,Large,6,05/11/2021,18DOL,,DAY14,12,L.D2.T3.12,112.6,NA,NA,05/11/2021,09-Nov,15/11/2021,09:00,240,F,1,,5.4,2.7,0.047957371
R3,Control,9,05/07/2022,19DOL,15,,70,C70,94.8,13.82,4.28,05/07/2022,12:00,12/07/2022,07:30,163,F,1,14/07/2022,5.4,2.7,0.056962025
R3,Control,12,03/07/2022,17DOL,13,,2,C2,110.5,14.07,4.52,03/07/2022,16:00,11/07/2022,11:00,187,F,1,13/07/2022,5.4,2.7,0.048868778
R3,Large,13,10/07/2022,18DOL,14,,17,L17,107.6,14.61,4.47,10/07/2022,11:30,18/07/2022,08:20,188,F,1,20/07/2022,5.4,2.7,0.050185874
R1,Large,5,08/11/2021,21DOL,,DAY17,10,L.D5.T2.10,159.2,NA,NA,08/11/2021,10:00,16/11/2021,09:00,191,F,1,,5.5,2.75,0.034547739
R1,Large,6,05/11/2021,18DOL,,DAY14,9,L.D2.T3.9,167.1,NA,NA,05/11/2021,09-Nov,15/11/2021,09:00,240,F,1,,5.5,2.75,0.032914423
R3,Control,12,03/07/2022,17DOL,13,,7,C7,97.1,14.68,4.24,03/07/2022,16:00,11/07/2022,11:00,187,F,1,13/07/2022,5.8,2.9,0.059732235
R3,Control,10,04/07/2022,18DOL,14,,39,C39,109.8,14.84,4.56,04/07/2022,16:00,11/07/2022,13:40,165,F,1,13/07/2022,5.9,2.95,0.053734062
R3,Control,12,03/07/2022,17DOL,13,,11,C11,112.1,14.91,4.86,03/07/2022,16:00,11/07/2022,11:00,187,F,1,13/07/2022,6.1,3.05,0.0544157
R3,Large,13,11/07/2022,18DOL,14,,60,L60,107.7,14.64,5.05,11/07/2022,11:00,19/07/2022,08:10,189,F,1,21/07/2022,6.2,3.1,0.057567317
R1,Large,5,07/11/2021,20DOL,,DAY16,10,L.D4.T2.10,168.4,NA,NA,07/11/2021,10:00,13/11/2021,12:00,146,F,1,,6.3,3.15,0.037410926
R3,Control,10,04/07/2022,18DOL,14,,47,C47,85,12.78,3.97,04/07/2022,16:00,11/07/2022,11:00,163,F,1,13/07/2022,6.5,3.25,0.076470588
R3,Control,10,04/07/2022,18DOL,14,,33,C33,109.6,14.01,4.7,04/07/2022,16:00,11/07/2022,13:40,165,F,1,13/07/2022,6.6,3.3,0.060218978
R3,Control,10,04/07/2022,18DOL,14,,46,C46,113.9,14.46,4.44,04/07/2022,16:00,11/07/2022,11:00,163,F,1,13/07/2022,6.6,3.3,0.057945566
R3,Large,13,11/07/2022,18DOL,14,,72,L72,132.4,15.31,5.14,11/07/2022,11:00,18/07/2022,08:20,165,F,1,20/07/2022,6.8,3.4,0.051359517
R3,Control,12,03/07/2022,17DOL,13,,1,C1,122.4,15.21,4.05,03/07/2022,16:00,11/07/2022,17:30,193,F,1,13/07/2022,7.3,3.65,0.059640523
R1,Large,6,08/11/2021,21DOL,,DAY17,6,L.D5.T3.6,172.1,NA,NA,08/11/2021,10:00,13/11/2021,12:00,146,F,1,,8.3,4.15,0.048227775
R3,Control,9,05/07/2022,19DOL,15,,77,C77,127.9,15.73,4.74,05/07/2022,12:00,12/07/2022,07:30,163,F,1,14/07/2022,8.4,4.2,0.06567631
R3,Control,11,05/07/2022,19DOL,15,,91,C91,113.2,14.71,4.55,05/07/2022,12:00,12/07/2022,07:30,163,F,1,14/07/2022,9.6,4.8,0.084805654
R3,Control,12,05/07/2022,19DOL,15,,96,C96,142.1,16.83,4.48,05/07/2022,12:00,13/07/2022,16:40,196,F,1,15/07/2022,15.6,7.8,0.109781844
R1,Large,4,08/11/2021,21DOL,,DAY17,2,L.D5.T1.2,111.4,NA,NA,08/11/2021,10:00,11/11/2021,14:00,76,M,0,,NA,NA,NA
R1,Large,6,08/11/2021,21DOL,,DAY17,2,L.D5.T3.2,127.2,NA,NA,08/11/2021,10:00,11/11/2021,14:00,76,M,0,,NA,NA,NA
R1,Large,6,08/11/2021,21DOL,,DAY17,9,L.D5.T3.9,128.6,NA,NA,08/11/2021,10:00,12/11/2021,09:00,95,F,1,,NA,NA,NA
R1,Large,5,07/11/2021,20DOL,,DAY16,1,L.D4.T2.1,89.9,NA,NA,07/11/2021,10:00,11/11/2021,14:00,100,M,0,,NA,NA,NA
R1,Control,3,07/11/2021,20DOL,,DAY16,7,C.D3.T3.7,81.6,NA,NA,07/11/2021,10:00,11/11/2021,14:00,100,M,0,,NA,NA,NA
R1,Control,1,07/11/2021,20DOL,,DAY16,4,C.D3.T1.4,90.9,NA,NA,07/11/2021,10:00,12/11/2021,09:00,119,M,0,,NA,NA,NA
R1,Large,4,07/11/2021,20DOL,,DAY16,4,L.D4.T1.4,86.7,NA,NA,07/11/2021,10:00,12/11/2021,09:00,119,M,0,,NA,NA,NA
R1,Large,4,07/11/2021,20DOL,,DAY16,6,L.D4.T1.6,118.4,NA,NA,07/11/2021,10:00,12/11/2021,09:00,119,M,0,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,7,C.D3.T2.7,79.3,NA,NA,07/11/2021,10:00,12/11/2021,09:00,119,M,0,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,4,L.D3.T3.4,116.9,NA,NA,06/11/2021,14:00-14:40,11/11/2021,14:00,120,M,0,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,9,L.D3.T3.9,114.3,NA,NA,06/11/2021,14:00-14:40,11/11/2021,14:00,120,M,0,,NA,NA,NA
R1,Large,4,08/11/2021,21DOL,,DAY17,6,L.D5.T1.6,117.9,NA,NA,08/11/2021,10:00,13/11/2021,12:00,122,M,0,,NA,NA,NA
R1,Large,5,08/11/2021,21DOL,,DAY17,8,L.D5.T2.8,135.4,NA,NA,08/11/2021,10:00,13/11/2021,12:00,122,M,0,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,2,C.D3.T2.2,94.5,NA,NA,07/11/2021,10:00,12/11/2021,14:42,124,M,0,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,5,C.D3.T2.5,60.4,NA,NA,07/11/2021,10:00,12/11/2021,14:42,124,M,0,,NA,NA,NA
R1,Control,1,07/11/2021,20DOL,,DAY16,10,C.D3.T1.10,91.3,NA,NA,07/11/2021,10:00,12/11/2021,16:25,126,M,0,,NA,NA,NA
R1,Large,5,06/11/2021,19DOL,,DAY15,4,L.D3.T2.4,120.7,NA,NA,06/11/2021,14:00-14:40,12/11/2021,09:00,139,M,0,,NA,NA,NA
R1,Large,5,06/11/2021,19DOL,,DAY15,6,L.D3.T2.6,77.2,NA,NA,06/11/2021,14:00-14:40,12/11/2021,09:00,139,M,NA,,NA,NA,NA
R1,Large,6,06/11/2021,19DOL,,DAY15,10,L.D3.T3.10,109.8,NA,NA,06/11/2021,14:00-14:40,12/11/2021,09:00,139,M,0,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,3,C.D2.T1.3,79.2,NA,NA,06/11/2021,12:25-1:30,12/11/2021,09:00,140,M,0,,NA,NA,NA
R1,Control,2,06/11/2021,19DOL,,DAY15,2,C.D2.T2.2,92.6,NA,NA,06/11/2021,12:25-1:30,12/11/2021,09:00,140,M,NA,,NA,NA,NA
R1,Control,2,06/11/2021,19DOL,,DAY15,3,C.D2.T2.3,96.7,NA,NA,06/11/2021,12:25-1:30,12/11/2021,09:00,140,M,0,,NA,NA,NA
R1,Control,3,06/11/2021,19DOL,,DAY15,1,C.D2.T3.1,80.9,NA,NA,06/11/2021,12:25-1:30,12/11/2021,09:00,140,M,0,,NA,NA,NA
R1,Control,3,06/11/2021,19DOL,,DAY15,2,C.D2.T3.2,109,NA,NA,06/11/2021,12:25-1:30,12/11/2021,09:00,140,M,0,,NA,NA,NA
R1,Control,3,06/11/2021,19DOL,,DAY15,9,C.D2.T3.9,93.2,NA,NA,06/11/2021,12:25-1:30,12/11/2021,09:00,140,M,0,,NA,NA,NA
R1,Large,4,06/11/2021,19DOL,,DAY15,7,L.D3.T1.7,100.9,NA,NA,06/11/2021,14:00-14:40,12/11/2021,09:00,143,M,0,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,2,C.D2.T1.2,95.4,NA,NA,06/11/2021,12:25-1:30,12/11/2021,14:42,146,M,0,,NA,NA,NA
R1,Control,1,06/11/2021,19DOL,,DAY15,9,C.D2.T1.9,107.2,NA,NA,06/11/2021,12:25-1:30,12/11/2021,14:42,146,M,0,,NA,NA,NA
R1,Control,2,07/11/2021,20DOL,,DAY16,3,C.D3.T2.3,92.8,NA,NA,07/11/2021,10:00,13/11/2021,12:00,146,M,0,,NA,NA,NA
